ANCESTOR_CONCEPT_ID,DESCENDANT_CONCEPT_ID,MIN_LEVELS_OF_SEPARATION,MAX_LEVELS_OF_SEPARATION
4180628.0,313217.0,5.0,6.0
4179141.0,4146173.0,2.0,2.0
21500574.0,1118084.0,4.0,4.0
21505770.0,1119510.0,0.0,0.0
21503967.0,40162522.0,5.0,6.0
36203060.0,40479422.0,4.0,4.0
36151386.0,1119510.0,0.0,0.0
21502552.0,1112807.0,4.0,4.0
40765628.0,40769189.0,2.0,2.0
44339646.0,19128009.0,2.0,2.0
44337799.0,1521369.0,0.0,0.0
44339264.0,1124957.0,0.0,0.0
45652937.0,1125315.0,0.0,0.0
45622421.0,1713332.0,0.0,0.0
45640391.0,1125315.0,0.0,0.0
45632061.0,1119510.0,0.0,0.0
45629773.0,1539403.0,0.0,0.0
45654298.0,1177480.0,0.0,0.0
45624364.0,19008572.0,2.0,3.0
45686394.0,975125.0,0.0,0.0
45781198.0,933724.0,0.0,0.0
45687104.0,46233710.0,2.0,3.0
45687749.0,19008572.0,2.0,3.0
46242471.0,1112807.0,0.0,0.0
45703024.0,1728416.0,0.0,0.0
46242546.0,40229134.0,2.0,3.0
45798499.0,1000560.0,0.0,0.0
46297520.0,1119510.0,0.0,0.0
45691093.0,1125315.0,0.0,0.0
46293532.0,1125315.0,0.0,0.0
45799320.0,1119510.0,0.0,0.0
46309333.0,1129625.0,0.0,0.0
45897346.0,1107882.0,2.0,3.0
253549.0,4048695.0,5.0,6.0
4179141.0,4149245.0,2.0,2.0
21500574.0,1177480.0,4.0,4.0
21505770.0,1192710.0,0.0,0.0
21500363.0,46275916.0,5.0,6.0
35902851.0,198809.0,4.0,4.0
36155724.0,1119510.0,0.0,0.0
21502552.0,1367571.0,4.0,4.0
40765628.0,40769179.0,2.0,2.0
44362889.0,40223834.0,2.0,3.0
44337803.0,933724.0,0.0,0.0
44339286.0,1539403.0,0.0,0.0
45652938.0,1125315.0,0.0,0.0
45622707.0,791967.0,0.0,0.0
45640297.0,1125315.0,0.0,0.0
45632149.0,1119510.0,0.0,0.0
45629693.0,1521369.0,0.0,0.0
45655401.0,1177480.0,0.0,0.0
45624375.0,43012036.0,2.0,3.0
45686437.0,975125.0,0.0,0.0
45781644.0,1717327.0,0.0,0.0
45687187.0,19074843.0,2.0,3.0
45687303.0,40232448.0,2.0,3.0
46242526.0,1115008.0,0.0,0.0
45702872.0,920293.0,0.0,0.0
46242294.0,19008572.0,2.0,3.0
45798500.0,1310149.0,0.0,0.0
46292863.0,1119510.0,0.0,0.0
45691287.0,1125315.0,0.0,0.0
46293704.0,1125315.0,0.0,0.0
45799552.0,1119510.0,0.0,0.0
46309473.0,1129625.0,0.0,0.0
45894646.0,43012036.0,2.0,3.0
253549.0,4149245.0,5.0,6.0
4154161.0,4296205.0,2.0,2.0
21500574.0,1305058.0,4.0,4.0
21505771.0,1174888.0,0.0,0.0
21505691.0,40173590.0,5.0,6.0
35802133.0,40480160.0,4.0,4.0
36155807.0,1119510.0,0.0,0.0
21502552.0,1310149.0,4.0,4.0
40765628.0,40769184.0,2.0,2.0
44362900.0,1154615.0,2.0,3.0
44337807.0,1115008.0,0.0,0.0
44339423.0,1738521.0,0.0,0.0
45653079.0,1125315.0,0.0,0.0
45622708.0,1343916.0,0.0,0.0
45640350.0,1125315.0,0.0,0.0
45632086.0,1119510.0,0.0,0.0
45629693.0,19127890.0,0.0,0.0
45654761.0,1177480.0,0.0,0.0
45624843.0,40162522.0,2.0,3.0
45686512.0,975125.0,0.0,0.0
45781652.0,1124300.0,0.0,0.0
45687237.0,1107882.0,2.0,3.0
45687230.0,1115171.0,2.0,3.0
46242529.0,1738521.0,0.0,0.0
45702874.0,1307863.0,0.0,0.0
46242368.0,19008572.0,2.0,3.0
45798510.0,1124300.0,0.0,0.0
46293239.0,1119510.0,0.0,0.0
45691366.0,1125315.0,0.0,0.0
46293589.0,1125315.0,0.0,0.0
45799671.0,1119510.0,0.0,0.0
46309362.0,1129625.0,0.0,0.0
45894753.0,43012036.0,2.0,3.0
253549.0,4278672.0,5.0,6.0
4154161.0,4299128.0,2.0,2.0
21500574.0,1112807.0,4.0,4.0
21505771.0,1129625.0,0.0,0.0
21505696.0,40236446.0,5.0,6.0
36002886.0,4048171.0,4.0,4.0
36155941.0,1119510.0,0.0,0.0
21502552.0,1322184.0,4.0,4.0
40765628.0,40769194.0,2.0,2.0
44363088.0,19059056.0,2.0,3.0
44337888.0,1000560.0,0.0,0.0
44339288.0,705944.0,0.0,0.0
45653127.0,1125315.0,0.0,0.0
45622661.0,1115008.0,0.0,0.0
45640480.0,1125315.0,0.0,0.0
45632160.0,1119510.0,0.0,0.0
45629693.0,1549786.0,0.0,0.0
45654876.0,1177480.0,0.0,0.0
45668913.0,40232448.0,2.0,3.0
45685530.0,975125.0,0.0,0.0
45781436.0,967823.0,0.0,0.0
45687171.0,40232448.0,2.0,3.0
45687690.0,40232448.0,2.0,3.0
46242531.0,757627.0,0.0,0.0
45702879.0,967823.0,0.0,0.0
46241199.0,40232448.0,2.0,3.0
45798292.0,967823.0,0.0,0.0
46293425.0,1119510.0,0.0,0.0
45691370.0,1125315.0,0.0,0.0
46293606.0,1125315.0,0.0,0.0
45799659.0,1119510.0,0.0,0.0
46303833.0,1129625.0,0.0,0.0
45894768.0,1127433.0,2.0,3.0
253549.0,40479768.0,5.0,6.0
4154161.0,4001336.0,2.0,2.0
21500574.0,19010482.0,4.0,4.0
21505771.0,1192710.0,0.0,0.0
21601238.0,46275916.0,5.0,6.0
36002141.0,4280726.0,4.0,4.0
36156016.0,1119510.0,0.0,0.0
4180941.0,4125906.0,4.0,4.0
37520653.0,44783196.0,2.0,2.0
44362914.0,40231925.0,2.0,3.0
44337890.0,1343916.0,0.0,0.0
44339290.0,975125.0,0.0,0.0
45653151.0,1125315.0,0.0,0.0
45622723.0,738818.0,0.0,0.0
45640534.0,1125315.0,0.0,0.0
45631865.0,1119510.0,0.0,0.0
45629671.0,1500211.0,0.0,0.0
45654802.0,1177480.0,0.0,0.0
45668842.0,40228230.0,2.0,3.0
45680343.0,975125.0,0.0,0.0
45781446.0,1115008.0,0.0,0.0
45687184.0,19075001.0,2.0,3.0
45687839.0,19077572.0,2.0,3.0
46240468.0,1192710.0,0.0,0.0
45702968.0,920293.0,0.0,0.0
46241250.0,1545959.0,2.0,3.0
45798300.0,1729720.0,0.0,0.0
46293304.0,1119510.0,0.0,0.0
45691344.0,1125315.0,0.0,0.0
46293610.0,1125315.0,0.0,0.0
45799578.0,1119510.0,0.0,0.0
46303855.0,1129625.0,0.0,0.0
45896749.0,40232448.0,2.0,3.0
253549.0,4066995.0,5.0,6.0
4027255.0,4329847.0,2.0,2.0
21500574.0,1129625.0,4.0,4.0
21505775.0,1174888.0,0.0,0.0
21604253.0,40229134.0,5.0,6.0
36002141.0,40486433.0,4.0,4.0
36155943.0,1119510.0,0.0,0.0
21502550.0,1000560.0,4.0,4.0
37219942.0,255848.0,2.0,2.0
44362916.0,1115171.0,2.0,3.0
44337891.0,1539403.0,0.0,0.0
44339090.0,1149380.0,0.0,0.0
45653423.0,1125315.0,0.0,0.0
45622950.0,738818.0,0.0,0.0
45640523.0,1125315.0,0.0,0.0
45632192.0,1119510.0,0.0,0.0
45629677.0,740275.0,0.0,0.0
45651402.0,1177480.0,0.0,0.0
45668889.0,920334.0,2.0,3.0
45676890.0,975125.0,0.0,0.0
45781202.0,967823.0,0.0,0.0
45687209.0,19075601.0,2.0,3.0
45684256.0,19019273.0,2.0,3.0
46240499.0,1539403.0,0.0,0.0
45702980.0,1729720.0,0.0,0.0
46241163.0,19077572.0,2.0,3.0
45798302.0,1112807.0,0.0,0.0
46293457.0,1119510.0,0.0,0.0
45690976.0,1125315.0,0.0,0.0
46293746.0,1125315.0,0.0,0.0
45796709.0,1119510.0,0.0,0.0
46303929.0,1129625.0,0.0,0.0
45896653.0,40163554.0,2.0,3.0
253549.0,40479422.0,5.0,6.0
4105895.0,4295880.0,2.0,2.0
21500574.0,1115008.0,4.0,4.0
21505776.0,1119510.0,0.0,0.0
21604253.0,19133768.0,5.0,6.0
36002868.0,40486433.0,4.0,4.0
36155882.0,1119510.0,0.0,0.0
21502550.0,975125.0,4.0,4.0
37622482.0,317576.0,2.0,2.0
44363103.0,40162522.0,2.0,3.0
44338028.0,1112807.0,0.0,0.0
44339293.0,1545958.0,0.0,0.0
45653425.0,1125315.0,0.0,0.0
45622557.0,1174888.0,0.0,0.0
45640442.0,1125315.0,0.0,0.0
45632006.0,1119510.0,0.0,0.0
45629620.0,1107830.0,0.0,0.0
45651651.0,1177480.0,0.0,0.0
