8515,"Missing Concept - Integrity Patch",Race,Race,Race,S,F,0,4102358400,
8516,"Missing Concept - Integrity Patch",Race,Race,Race,S,F,0,4102358400,
8527,"Missing Concept - Integrity Patch",Race,Race,Race,S,F,0,4102358400,
38003563,MALE,Ethnicity,Ethnicity,Ethnicity,S,F,0,4102358400,
44814724,MALE,"Period Type","Period Type","Period Type",S,F,0,4102358400,
44818517,"Missing Concept - Integrity Patch","Visit Type","Visit Type","Visit Type",S,F,0,4102358400,
32020,"Missing Concept - Integrity Patch","Condition Type","Condition Type","Condition Type",S,F,0,4102358400,
4166590,"Missing Concept - Integrity Patch","Drug Exposure","Drug Exposure","Drug Exposure",S,F,0,4102358400,
38000177,"Missing Concept - Integrity Patch","Drug Exposure","Drug Exposure","Drug Exposure",S,F,0,4102358400,
581452,"Missing Concept - Integrity Patch","Drug Exposure","Drug Exposure","Drug Exposure",S,F,0,4102358400,
19080464,"Missing Concept - Integrity Patch","Procedure Occurrence","Procedure Occurrence","Procedure Occurrence",S,F,0,4102358400,
38000275,"Missing Concept - Integrity Patch",Measurement,Measurement,Measurement,S,F,0,4102358400,
5001,"Missing Concept - Integrity Patch",Measurement,Measurement,Measurement,S,F,0,4102358400,
38000280,"Missing Concept - Integrity Patch","Observation Provider","Observation Provider","Observation Provider",S,F,0,4102358400,
38000276,"Missing Concept - Integrity Patch","Observation Type","Observation Type","Observation Type",S,F,0,4102358400,
19,"Missing Concept - Integrity Patch","Domain Concept","Domain Concept","Domain Concept",S,F,0,4102358400,
44818895,"Missing Concept - Integrity Patch","Relationship Concept","Relationship Concept","Relationship Concept",S,F,0,4102358400,
4180186,"Missing Concept - Integrity Patch","Synonym Language","Synonym Language","Synonym Language",S,F,0,4102358400,
4180628,"Missing Concept - Integrity Patch","Ancestor","Ancestor","Ancestor",S,F,0,4102358400,
44818847,"Missing Concept - Integrity Patch","Relationship Concept","Relationship Concept","Relationship Concept",S,F,0,4102358400,
44818847,"Missing Concept - Integrity Patch","Relationship Concept","Relationship Concept","Relationship Concept",S,F,0,4102358400,
4179141,"Missing Concept - Integrity Patch","Ancestor","Ancestor","Ancestor",S,F,0,4102358400,
44818859,"Missing Concept - Integrity Patch","Relationship Concept","Relationship Concept","Relationship Concept",S,F,0,4102358400,
21500574,"Missing Concept - Integrity Patch","Ancestor","Ancestor","Ancestor",S,F,0,4102358400,
45756746,"Missing Concept - Integrity Patch","Vocabulary","Vocabulary","Vocabulary",S,F,0,4102358400,
235,"Missing Concept - Integrity Patch","Domain Concept","Domain Concept","Domain Concept",S,F,0,4102358400,
